Subject,mean_neutral,mean_cued,Benefit
0,19.41640642642975,17.382534627914428,2.033871798515321
1,23.370166912078858,24.82660070180893,-1.4564337897300703
2,21.207716088294983,21.969720681905745,-0.7620045936107616
3,18.17604269981384,18.546460901498794,-0.3704182016849522
4,16.91250714302063,16.64220016479492,0.27030697822570815
5,16.562589588165284,17.08955271720886,-0.5269631290435761
6,17.94367731332779,18.63855169415474,-0.6948743808269491
7,22.499387049674986,23.523453485965728,-1.0240664362907417
8,19.673676981925965,19.811558912992478,-0.13788193106651292
9,14.139415519237518,14.595571308135986,-0.4561557888984673
